"","price","area","bedrooms","bathrooms","stories","mainroad","guestroom","basement","hotwaterheating","airconditioning","parking","prefarea","furnishingstatus"
"1",13300000,7420,4,2,3,"yes","no","no","no","yes",2,"yes","furnished"
"2",12250000,8960,4,4,4,"yes","no","no","no","yes",3,"no","furnished"
"3",12250000,9960,3,2,2,"yes","no","yes","no","no",2,"yes","semi-furnished"
"4",12215000,7500,4,2,2,"yes","no","yes","no","yes",3,"yes","furnished"
"5",11410000,7420,4,1,2,"yes","yes","yes","no","yes",2,"no","furnished"
"6",10850000,7500,3,3,1,"yes","no","yes","no","yes",2,"yes","semi-furnished"
"7",10150000,8580,4,3,4,"yes","no","no","no","yes",2,"yes","semi-furnished"
"8",10150000,16200,5,3,2,"yes","no","no","no","no",0,"no","unfurnished"
"9",9870000,8100,4,1,2,"yes","yes","yes","no","yes",2,"yes","furnished"
"10",9800000,5750,3,2,4,"yes","yes","no","no","yes",1,"yes","unfurnished"
"11",9800000,13200,3,1,2,"yes","no","yes","no","yes",2,"yes","furnished"
"12",9681000,6000,4,3,2,"yes","yes","yes","yes","no",2,"no","semi-furnished"
"13",9310000,6550,4,2,2,"yes","no","no","no","yes",1,"yes","semi-furnished"
"14",9240000,3500,4,2,2,"yes","no","no","yes","no",2,"no","furnished"
"15",9240000,7800,3,2,2,"yes","no","no","no","no",0,"yes","semi-furnished"
"16",9100000,6000,4,1,2,"yes","no","yes","no","no",2,"no","semi-furnished"
"17",9100000,6600,4,2,2,"yes","yes","yes","no","yes",1,"yes","unfurnished"
"18",8960000,8500,3,2,4,"yes","no","no","no","yes",2,"no","furnished"
"19",8890000,4600,3,2,2,"yes","yes","no","no","yes",2,"no","furnished"
"20",8855000,6420,3,2,2,"yes","no","no","no","yes",1,"yes","semi-furnished"
"21",8750000,4320,3,1,2,"yes","no","yes","yes","no",2,"no","semi-furnished"
"22",8680000,7155,3,2,1,"yes","yes","yes","no","yes",2,"no","unfurnished"
"23",8645000,8050,3,1,1,"yes","yes","yes","no","yes",1,"no","furnished"
"24",8645000,4560,3,2,2,"yes","yes","yes","no","yes",1,"no","furnished"
"25",8575000,8800,3,2,2,"yes","no","no","no","yes",2,"no","furnished"
"26",8540000,6540,4,2,2,"yes","yes","yes","no","yes",2,"yes","furnished"
"27",8463000,6000,3,2,4,"yes","yes","yes","no","yes",0,"yes","semi-furnished"
"28",8400000,8875,3,1,1,"yes","no","no","no","no",1,"no","semi-furnished"
"29",8400000,7950,5,2,2,"yes","no","yes","yes","no",2,"no","unfurnished"
"30",8400000,5500,4,2,2,"yes","no","yes","no","yes",1,"yes","semi-furnished"
"31",8400000,7475,3,2,4,"yes","no","no","no","yes",2,"no","unfurnished"
"32",8400000,7000,3,1,4,"yes","no","no","no","yes",2,"no","semi-furnished"
"33",8295000,4880,4,2,2,"yes","no","no","no","yes",1,"yes","furnished"
"34",8190000,5960,3,3,2,"yes","yes","yes","no","no",1,"no","unfurnished"
"35",8120000,6840,5,1,2,"yes","yes","yes","no","yes",1,"no","furnished"
"36",8080940,7000,3,2,4,"yes","no","no","no","yes",2,"no","furnished"
"37",8043000,7482,3,2,3,"yes","no","no","yes","no",1,"yes","furnished"
"38",7980000,9000,4,2,4,"yes","no","no","no","yes",2,"no","furnished"
"39",7962500,6000,3,1,4,"yes","yes","no","no","yes",2,"no","unfurnished"
"40",7910000,6000,4,2,4,"yes","no","no","no","yes",1,"no","semi-furnished"
"41",7875000,6550,3,1,2,"yes","no","yes","no","yes",0,"yes","furnished"
"42",7840000,6360,3,2,4,"yes","no","no","no","yes",0,"yes","furnished"
